日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2026-06-03,10:00:00,股票,东贝集团(601956.XSHG),卖,市价单,-5900股,5.23,-30857,-5900股,-,-3127,18.51,全部成交,2026-06-03 10:00:00
2026-06-03,14:20:00,股票,红相股份(300427.XSHE),卖,市价单,-4400股,7.78,-34232,-4400股,-,3960,20.54,全部成交,2026-06-03 14:20:00
2026-06-03,14:20:00,股票,爱朋医疗(300753.XSHE),买,市价单,1400股,22.07,30898,1400股,-,0,3.09,全部成交,2026-06-03 14:20:00
2026-06-03,14:20:00,股票,初灵信息(300250.XSHE),买,市价单,1800股,16.66,29988,1800股,-,0,3,全部成交,2026-06-03 14:20:00
2026-06-05,10:00:00,股票,科蓝软件(300663.XSHE),卖,市价单,-3700股,7.51,-27787,-3700股,-,-3404,16.67,全部成交,2026-06-05 10:00:00
2026-06-09,10:00:00,股票,青岛金王(002094.XSHE),卖,市价单,-5800股,4.93,-28594,-5800股,-,-3016,17.16,全部成交,2026-06-09 10:00:00
2026-06-09,10:15:00,股票,立方制药(003020.XSHE),卖,市价单,-1800股,15.6,-28080,-1800股,-,-1725,16.85,全部成交,2026-06-09 10:15:00
2026-06-09,10:30:00,股票,永安药业(002365.XSHE),买,市价单,2600股,11.27,29302,2600股,-,0,2.93,全部成交,2026-06-09 10:30:00
2026-06-09,10:30:00,股票,红相股份(300427.XSHE),买,市价单,4100股,7.27,29807,4100股,-,0,2.98,全部成交,2026-06-09 10:30:00
2026-06-09,10:30:00,股票,品渥食品(300892.XSHE),买,市价单,1300股,22.36,29068,1300股,-,0,2.91,全部成交,2026-06-09 10:30:00
2026-06-22,10:00:00,股票,爱朋医疗(300753.XSHE),卖,市价单,-1400股,19.69,-27566,-1400股,-,-3332,16.54,全部成交,2026-06-22 10:00:00
2026-06-22,10:00:00,股票,初灵信息(300250.XSHE),卖,市价单,-1800股,15.05,-27090,-1800股,-,-2898,16.25,全部成交,2026-06-22 10:00:00
2026-06-22,10:00:00,股票,品渥食品(300892.XSHE),卖,市价单,-1300股,19.87,-25831,-1300股,-,-3237,15.5,全部成交,2026-06-22 10:00:00
2026-06-23,10:30:00,股票,双乐股份(301036.XSHE),买,市价单,1200股,24.04,28848,1200股,-,0,2.88,全部成交,2026-06-23 10:30:00
2026-06-23,10:30:00,股票,邦基科技(603151.XSHG),买,市价单,2300股,12.27,28221,2300股,-,0,2.82,全部成交,2026-06-23 10:30:00
2026-06-23,10:30:00,股票,海阳科技(603382.XSHG),买,市价单,1500股,19.22,28830,1500股,-,0,2.88,全部成交,2026-06-23 10:30:00
2026-06-26,10:00:00,股票,红相股份(300427.XSHE),卖,市价单,-4100股,6.51,-26691,-4100股,-,-3116,16.01,全部成交,2026-06-26 10:00:00
2026-06-26,10:00:00,股票,邦基科技(603151.XSHG),卖,市价单,-2300股,10.94,-25162,-2300股,-,-3059,15.1,全部成交,2026-06-26 10:00:00
2026-06-26,10:00:00,股票,海阳科技(603382.XSHG),卖,市价单,-1500股,17.32,-25980,-1500股,-,-2850,15.59,全部成交,2026-06-26 10:00:00
2026-06-29,10:00:00,股票,中科海讯(300810.XSHE),卖,市价单,-1100股,23.82,-26202,-1100股,-,-3102.33,15.72,全部成交,2026-06-29 10:00:00
2026-06-29,10:00:00,股票,永安药业(002365.XSHE),卖,市价单,-2600股,10.04,-26104,-2600股,-,-2942.94,15.66,全部成交,2026-06-29 10:00:00
2026-06-30,10:00:00,股票,双乐股份(301036.XSHE),卖,市价单,-1200股,21.82,-26184,-1200股,-,-2664,15.71,全部成交,2026-06-30 10:00:00
2026-06-30,10:30:00,股票,科蓝软件(300663.XSHE),买,市价单,3900股,6.66,25974,3900股,-,0,2.6,全部成交,2026-06-30 10:30:00
2026-06-30,10:30:00,股票,青岛金王(002094.XSHE),买,市价单,5900股,4.36,25724,5900股,-,0,2.57,全部成交,2026-06-30 10:30:00
2026-06-30,10:30:00,股票,明新旭腾(605068.XSHG),买,市价单,1500股,16.67,25005,1500股,-,0,2.5,全部成交,2026-06-30 10:30:00
2026-06-30,10:30:00,股票,夏厦精密(001306.XSHE),买,市价单,400股,54.05,21620,400股,-,0,2.16,全部成交,2026-06-30 10:30:00
2026-06-30,10:30:00,股票,科恒股份(300340.XSHE),买,市价单,3000股,8.51,25530,3000股,-,0,2.55,全部成交,2026-06-30 10:30:00
2026-06-30,10:30:00,股票,创源股份(300703.XSHE),买,市价单,2000股,12.67,25340,2000股,-,0,2.53,全部成交,2026-06-30 10:30:00
2026-07-06,14:20:00,股票,明新旭腾(605068.XSHG),卖,市价单,-1500股,17.66,-26490,-1500股,-,1545,15.89,全部成交,2026-07-06 14:20:00
2026-07-06,14:20:00,股票,夏厦精密(001306.XSHE),卖,市价单,-400股,60.66,-24264,-400股,-,2644,14.56,全部成交,2026-07-06 14:20:00
2026-07-06,14:20:00,股票,捷荣技术(002855.XSHE),买,市价单,2800股,9.4,26320,2800股,-,0,2.63,全部成交,2026-07-06 14:20:00
2026-07-06,14:20:00,股票,新锦动力(300157.XSHE),买,市价单,7100股,3.77,26767,7100股,-,0,2.68,全部成交,2026-07-06 14:20:00
2026-07-09,14:20:00,股票,新锦动力(300157.XSHE),卖,市价单,-7100股,3.79,-26909,-7100股,-,142,16.15,全部成交,2026-07-09 14:20:00
2026-07-09,14:20:00,股票,皓宸医疗(002622.XSHE),买,市价单,12500股,2.05,25625,12500股,-,0,2.56,全部成交,2026-07-09 14:20:00
2026-07-14,10:00:00,股票,科恒股份(300340.XSHE),卖,市价单,-3000股,7.64,-22920,-3000股,-,-2610,13.75,全部成交,2026-07-14 10:00:00
2026-07-14,10:15:00,股票,皓宸医疗(002622.XSHE),卖,市价单,-12500股,2.11,-26375,-12500股,-,750,15.82,全部成交,2026-07-14 10:15:00
2026-07-14,10:30:00,股票,初灵信息(300250.XSHE),买,市价单,1900股,13.27,25213,1900股,-,0,2.52,全部成交,2026-07-14 10:30:00
2026-07-14,10:30:00,股票,品渥食品(300892.XSHE),买,市价单,1300股,18.8,24440,1300股,-,0,2.44,全部成交,2026-07-14 10:30:00
2026-07-17,14:20:00,股票,科蓝软件(300663.XSHE),卖,市价单,-3900股,6.83,-26637,-3900股,-,663,15.98,全部成交,2026-07-17 14:20:00
2026-07-17,14:20:00,股票,红相股份(300427.XSHE),买,市价单,4600股,5.74,26404,4600股,-,0,2.64,全部成交,2026-07-17 14:20:00
2026-07-21,10:00:00,股票,捷荣技术(002855.XSHE),卖,市价单,-2800股,8.27,-23156,-2800股,-,-3164,13.89,全部成交,2026-07-21 10:00:00
2026-07-21,10:00:00,股票,红相股份(300427.XSHE),卖,市价单,-4600股,5.15,-23690,-4600股,-,-2714,14.21,全部成交,2026-07-21 10:00:00
2026-07-21,10:15:00,股票,青岛金王(002094.XSHE),卖,市价单,-5900股,4.27,-25193,-5900股,-,-531,15.12,全部成交,2026-07-21 10:15:00
2026-07-21,10:15:00,股票,创源股份(300703.XSHE),卖,市价单,-2000股,11.77,-23540,-2000股,-,-1800,14.12,全部成交,2026-07-21 10:15:00
2026-07-21,10:15:00,股票,品渥食品(300892.XSHE),卖,市价单,-1300股,18.54,-24102,-1300股,-,-338,14.46,全部成交,2026-07-21 10:15:00
2026-07-21,10:30:00,股票,双乐股份(301036.XSHE),买,市价单,1300股,18.38,23894,1300股,-,0,2.39,全部成交,2026-07-21 10:30:00
2026-07-21,10:30:00,股票,中科海讯(300810.XSHE),买,市价单,1200股,20.03,24036,1200股,-,0,2.4,全部成交,2026-07-21 10:30:00
2026-07-21,10:30:00,股票,海阳科技(603382.XSHG),买,市价单,1500股,16.19,24285,1500股,-,0,2.43,全部成交,2026-07-21 10:30:00
